s3BucketName,date,spaceUsed
coolify-scraper-backup,2026-02-18,6505591
docker-volume-backup-coolify-6,2026-02-18,4337394106
docker-volume-backup-open-webui-raspi2,2026-02-18,3404287629
docker-volume-backup-owncloud-raspi2,2026-02-18,1113787877
docker-volume-backup-paperless-raspi2,2026-02-18,60517927
nextcloud.xtra.tools,2026-02-18,0
prod-nextjs-13-plain-site-sites3bucket2b2851f3-8ys8onxlbw8e,2026-02-18,1100999
prod-nextjs-aws-sst-starter-sites3bucket2b2851f3-io3hik7bjwar,2026-02-18,1002551
schminkel-chatbot-files,2026-02-18,30904152
schminkel-comfyui,2026-02-18,23213253
schminkel-coolify-116.203.89.76,2026-02-18,0
schminkel-coolify-5.75.142.123,2026-02-18,21259489
schminkel-coolify-91.99.8.91,2026-02-18,52567311
schminkel-coolify-94.130.56.167,2026-02-18,304330503
schminkel-de,2026-02-18,2117905930
schminkel-de-2026,2026-02-18,12151665
schminkel-de-backups,2026-02-18,4669335505
schminkel-digital,2026-02-18,19412748
schminkel-dynamodb-exports,2026-02-18,5116
schminkel-email,2026-02-18,504263
schminkel-email-plaintext,2026-02-18,29155
schminkel-email-thorsten-schminkel-digital,2026-02-18,654017
schminkel-ente,2026-02-18,2995293104
schminkel-favicon-bucket,2026-02-18,294839
schminkel-lambda-layer,2026-02-18,25113007
schminkel-large-files-569d920a-b271-4e2c-8302-84c28b6c08a7,2026-02-18,1208758227
schminkel-payload-3.0,2026-02-18,62745372
schminkel-payload-demo-3.0,2026-02-18,0
schminkel-payload-digital,2026-02-18,42663578
schminkel-payload-financials,2026-02-18,2764837
schminkel-payload-financials-dev,2026-02-18,2758654
schminkel-payload-financials-local,2026-02-18,2778017
schminkel-payload-lightgallery,2026-02-18,405906771
schminkel-payload-lightgallery-dev,2026-02-18,482610112
schminkel-photo-gallery,2026-02-18,119778256
schminkel-photo-net,2026-02-18,80255909
schminkel-photos,2026-02-18,1766315955
schminkel-public,2026-02-18,2005363
schminkel-test-lambda-bucket,2026-02-18,43293554
schminkel-transcribe-audio-input-bucket,2026-02-18,15690254
schminkel-transcribe-audio-output-bucket,2026-02-18,178578
schminkel-transcription,2026-02-18,4981693
tschminkel-my-nextjs-sst-app-sites3bucket2b2851f3-fpkhlm3c1jp5,2026-02-18,1023336
all,2026-02-18,23586602071
aws-sam-cli-managed-default-samclisourcebucket-4y22qhnbm8zx,2026-02-19,19983504
capgemini-s3,2026-02-19,2183813
cdk-hnb659fds-assets-185822987739-eu-central-1,2026-02-19,36278837
cdk-hnb659fds-assets-185822987739-us-east-1,2026-02-19,86076714
coolify-raspi5-02,2026-02-19,0
coolify-scraper-backup,2026-02-19,6505591
docker-volume-backup-coolify-6,2026-02-19,4343336110
docker-volume-backup-open-webui-raspi2,2026-02-19,3404287631
docker-volume-backup-owncloud-raspi2,2026-02-19,1086373545
docker-volume-backup-paperless-raspi2,2026-02-19,56052295
nextcloud.xtra.tools,2026-02-19,0
prod-nextjs-13-plain-site-sites3bucket2b2851f3-8ys8onxlbw8e,2026-02-19,1100999
prod-nextjs-aws-sst-starter-sites3bucket2b2851f3-io3hik7bjwar,2026-02-19,1002551
schminkel-chatbot-files,2026-02-19,30904152
schminkel-comfyui,2026-02-19,23213253
schminkel-coolify-116.203.89.76,2026-02-19,0
schminkel-coolify-5.75.142.123,2026-02-19,21259489
schminkel-coolify-91.99.8.91,2026-02-19,52571360
schminkel-coolify-94.130.56.167,2026-02-19,304330503
schminkel-de,2026-02-19,2117905930
schminkel-de-2026,2026-02-19,12151665
schminkel-de-backups,2026-02-19,4669335505
schminkel-digital,2026-02-19,19412748
schminkel-dynamodb-exports,2026-02-19,5116
schminkel-email,2026-02-19,504263
schminkel-email-plaintext,2026-02-19,29155
schminkel-email-thorsten-schminkel-digital,2026-02-19,654017
schminkel-ente,2026-02-19,2995293104
schminkel-favicon-bucket,2026-02-19,294839
schminkel-lambda-layer,2026-02-19,25113007
schminkel-large-files-569d920a-b271-4e2c-8302-84c28b6c08a7,2026-02-19,1208758227
schminkel-payload-3.0,2026-02-19,62745372
schminkel-payload-demo-3.0,2026-02-19,0
schminkel-payload-digital,2026-02-19,42663578
schminkel-payload-financials,2026-02-19,2764837
schminkel-payload-financials-dev,2026-02-19,2758654
schminkel-payload-financials-local,2026-02-19,2778017
schminkel-payload-lightgallery,2026-02-19,405906771
schminkel-payload-lightgallery-dev,2026-02-19,482610112
schminkel-photo-gallery,2026-02-19,119778256
schminkel-photo-net,2026-02-19,80255909
schminkel-photos,2026-02-19,1766315955
schminkel-public,2026-02-19,2005363
schminkel-test-lambda-bucket,2026-02-19,43293554
schminkel-transcribe-audio-input-bucket,2026-02-19,15690254
schminkel-transcribe-audio-output-bucket,2026-02-19,178578
schminkel-transcription,2026-02-19,4981693
tschminkel-my-nextjs-sst-app-sites3bucket2b2851f3-fpkhlm3c1jp5,2026-02-19,1023336
all,2026-02-19,23560668162
aws-sam-cli-managed-default-samclisourcebucket-4y22qhnbm8zx,2026-02-20,19983504
capgemini-s3,2026-02-20,2183813
cdk-hnb659fds-assets-185822987739-eu-central-1,2026-02-20,36278837
cdk-hnb659fds-assets-185822987739-us-east-1,2026-02-20,86076714
coolify-raspi5-02,2026-02-20,0
coolify-scraper-backup,2026-02-20,6505591
docker-volume-backup-coolify-6,2026-02-20,4348703711
docker-volume-backup-open-webui-raspi2,2026-02-20,3404287628
docker-volume-backup-owncloud-raspi2,2026-02-20,1086308889
docker-volume-backup-paperless-raspi2,2026-02-20,56052297
nextcloud.xtra.tools,2026-02-20,0
prod-nextjs-13-plain-site-sites3bucket2b2851f3-8ys8onxlbw8e,2026-02-20,1100999
prod-nextjs-aws-sst-starter-sites3bucket2b2851f3-io3hik7bjwar,2026-02-20,1002551
schminkel-chatbot-files,2026-02-20,30904152
schminkel-comfyui,2026-02-20,23213253
schminkel-coolify-116.203.89.76,2026-02-20,0
schminkel-coolify-5.75.142.123,2026-02-20,21259489
schminkel-coolify-91.99.8.91,2026-02-20,52628159
schminkel-coolify-94.130.56.167,2026-02-20,304330503
schminkel-de,2026-02-20,2117905930
schminkel-de-2026,2026-02-20,12151665
schminkel-de-backups,2026-02-20,4669335505
schminkel-digital,2026-02-20,19412748
schminkel-dynamodb-exports,2026-02-20,5116
schminkel-email,2026-02-20,504263
schminkel-email-plaintext,2026-02-20,29155
schminkel-email-thorsten-schminkel-digital,2026-02-20,654017
schminkel-ente,2026-02-20,2995293104
schminkel-favicon-bucket,2026-02-20,294839
schminkel-lambda-layer,2026-02-20,25113007
schminkel-large-files-569d920a-b271-4e2c-8302-84c28b6c08a7,2026-02-20,1208758227
schminkel-payload-3.0,2026-02-20,62745372
schminkel-payload-demo-3.0,2026-02-20,0
schminkel-payload-digital,2026-02-20,42663578
schminkel-payload-financials,2026-02-20,2764837
schminkel-payload-financials-dev,2026-02-20,2758654
schminkel-payload-financials-local,2026-02-20,2778017
schminkel-payload-lightgallery,2026-02-20,405906771
schminkel-payload-lightgallery-dev,2026-02-20,482610112
schminkel-photo-gallery,2026-02-20,119778256
schminkel-photo-net,2026-02-20,80255909
schminkel-photos,2026-02-20,1766315955
schminkel-public,2026-02-20,2005363
schminkel-test-lambda-bucket,2026-02-20,43293554
schminkel-transcribe-audio-input-bucket,2026-02-20,15690254
schminkel-transcribe-audio-output-bucket,2026-02-20,178578
schminkel-transcription,2026-02-20,4981693
tschminkel-my-nextjs-sst-app-sites3bucket2b2851f3-fpkhlm3c1jp5,2026-02-20,1023336
all,2026-02-20,23566027905
aws-sam-cli-managed-default-samclisourcebucket-4y22qhnbm8zx,2026-02-21,19983504
capgemini-s3,2026-02-21,2183813
cdk-hnb659fds-assets-185822987739-eu-central-1,2026-02-21,36278837
cdk-hnb659fds-assets-185822987739-us-east-1,2026-02-21,86076714
coolify-raspi5-02,2026-02-21,0
coolify-scraper-backup,2026-02-21,6505591
docker-volume-backup-coolify-6,2026-02-21,4353062349
docker-volume-backup-open-webui-raspi2,2026-02-21,3404287628
docker-volume-backup-owncloud-raspi2,2026-02-21,1058959213
docker-volume-backup-paperless-raspi2,2026-02-21,56052295
nextcloud.xtra.tools,2026-02-21,0
prod-nextjs-13-plain-site-sites3bucket2b2851f3-8ys8onxlbw8e,2026-02-21,1100999
prod-nextjs-aws-sst-starter-sites3bucket2b2851f3-io3hik7bjwar,2026-02-21,1002551
schminkel-chatbot-files,2026-02-21,30904152
schminkel-comfyui,2026-02-21,23213253
schminkel-coolify-116.203.89.76,2026-02-21,0
schminkel-coolify-5.75.142.123,2026-02-21,21259489
schminkel-coolify-91.99.8.91,2026-02-21,52631659
schminkel-coolify-94.130.56.167,2026-02-21,304330503
schminkel-de,2026-02-21,2117905930
schminkel-de-2026,2026-02-21,12151665
schminkel-de-backups,2026-02-21,4669335505
schminkel-digital,2026-02-21,19412748
schminkel-dynamodb-exports,2026-02-21,5116
schminkel-email,2026-02-21,504263
schminkel-email-plaintext,2026-02-21,29155
schminkel-email-thorsten-schminkel-digital,2026-02-21,654017
schminkel-ente,2026-02-21,2995293104
schminkel-favicon-bucket,2026-02-21,294839
schminkel-lambda-layer,2026-02-21,25113007
schminkel-large-files-569d920a-b271-4e2c-8302-84c28b6c08a7,2026-02-21,1208758227
schminkel-payload-3.0,2026-02-21,62745372
schminkel-payload-demo-3.0,2026-02-21,0
schminkel-payload-digital,2026-02-21,42663578
schminkel-payload-financials,2026-02-21,2764837
